Token,Language,Anglicism,POS,NE,Lemma
una,Spn,no,DET,O,uno
patota,Spn,no,NOUN,O,patota
interceptó,Spn,no,VERB,O,interceptar
a,Spn,no,ADP,O,a
Dorado,Spn,no,PROPN,B,Dorado
",",PUNCT,no,PUNCT,O,","
quien,Spn,no,PRON,O,quien
fue,Spn,no,AUX,O,ser
asesinado,Spn,no,VERB,O,asesinar
de,Spn,no,ADP,O,de
una,Spn,no,DET,O,uno
puñalada,Spn,no,NOUN,O,puñalada
en,Spn,no,ADP,O,en
el,Spn,no,DET,O,el
pecho,Spn,no,NOUN,O,pechar
.,PUNCT,no,PUNCT,O,.
La,Spn,no,DET,B,La
víctima,Spn,no,NOUN,I,víctima
fue,Spn,no,AUX,I,ser
llevada,Spn,no,VERB,I,llevar
al,Spn,no,ADP,O,al
hospital,Spn,no,NOUN,O,hospital
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
zona,Spn,no,NOUN,O,zona
pero,Spn,no,CONJ,O,pero
llegó,Spn,no,VERB,O,llegar
sin,Spn,no,ADP,O,sin
vida,Spn,no,NOUN,O,vida
",",PUNCT,no,PUNCT,O,","
según,Spn,no,ADP,O,según
las,Spn,no,DET,O,los
fuentes,Spn,no,NOUN,O,fuente
.,PUNCT,no,PUNCT,O,.
Personal,Spn,no,NOUN,B,Personal
de,Spn,no,ADP,I,de
la,Spn,no,DET,I,lo
Unidad,Spn,no,PROPN,I,Unidad
Regional,Spn,no,PROPN,I,Regional
Este,Spn,no,PROPN,I,Este
y,Spn,no,CONJ,O,y
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
división,Spn,no,NOUN,B,división
Homicidios,Spn,no,PROPN,I,Homicidios
y,Spn,no,CONJ,O,y
Delitos,Spn,no,PROPN,B,Delitos
Complejos,Spn,no,PROPN,I,Complejos
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
policía,Spn,no,NOUN,O,policía
tucumana,Spn,no,ADJ,O,tucumano
",",PUNCT,no,PUNCT,O,","
a,Spn,no,ADP,O,a
cargo,Spn,no,NOUN,O,cargar
de,Spn,no,ADP,O,de
los,Spn,no,DET,O,lo
comisarios,Spn,no,NOUN,O,comisario
José,Spn,no,PROPN,B,José
Díaz,Spn,no,PROPN,I,Díaz
y,Spn,no,CONJ,O,y
Hugo,Spn,no,PROPN,B,Hugo
Cabeza,Spn,no,PROPN,I,Cabeza
",",PUNCT,no,PUNCT,O,","
trabajaban,Spn,no,VERB,O,trabajar
para,Spn,no,ADP,O,parir
dar,Spn,no,VERB,O,dar
con,Spn,no,ADP,O,con
los,Spn,no,DET,O,lo
agresores,Spn,no,NOUN,O,agresor
",",PUNCT,no,PUNCT,O,","
cinco,Spn,no,NUM,O,cincar
de,Spn,no,ADP,O,de
los,Spn,no,DET,O,lo
cuales,Spn,no,PRON,O,cual
ya,Spn,no,ADV,O,ya
fueron,Spn,no,AUX,O,ser
identificados,Spn,no,VERB,O,identificar
",",PUNCT,no,PUNCT,O,","
aunque,Spn,no,SCONJ,O,aunque
no,Spn,no,ADV,O,no
detenidos,Spn,no,ADJ,O,detenido
.,PUNCT,no,PUNCT,O,.
Los,Spn,no,DET,B,Los
voceros,Spn,no,NOUN,I,vocero
dijeron,Spn,no,VERB,O,decir
que,Spn,no,SCONJ,O,que
uno,Spn,no,PRON,O,unir
de,Spn,no,ADP,O,de
ellos,Spn,no,PRON,O,ellos
es,Spn,no,AUX,O,ser
un,Spn,no,DET,O,uno
chico,Spn,no,NOUN,O,chico
de,Spn,no,ADP,O,de
17,NUM,no,NUM,O,17
años,Spn,no,NOUN,O,año
",",PUNCT,no,PUNCT,O,","
que,Spn,no,PRON,O,que
tenía,Spn,no,VERB,O,tener
el,Spn,no,DET,O,el
arma,Spn,no,NOUN,O,armar
blanca,Spn,no,ADJ,O,blanco
con,Spn,no,ADP,O,con
la,Spn,no,DET,O,lo
que,Spn,no,PRON,O,que
fue,Spn,no,AUX,O,ser
atacado,Spn,no,VERB,O,atacar
Dorado,Spn,no,PROPN,B,Dorado
.,PUNCT,no,PUNCT,O,.
La,Spn,no,DET,B,La
víctima,Spn,no,NOUN,I,víctima
era,Spn,no,AUX,I,ser
soltera,Spn,no,NOUN,I,soltero
y,Spn,no,CONJ,I,y
trabajaba,Spn,no,VERB,I,trabajar
haciendo,Spn,no,VERB,I,hacer
la,Spn,no,DET,I,lo
limpieza,Spn,no,NOUN,I,limpieza
de,Spn,no,ADP,I,de
la,Spn,no,DET,I,lo
parroquia,Spn,no,NOUN,I,parroquia
Nuestra,Spn,no,PROPN,I,Nuestra
Señora,Spn,no,PROPN,I,Señora
del,Spn,no,ADP,I,del
Rosario,Spn,no,PROPN,I,Rosario
",",PUNCT,no,PUNCT,O,","
en,Spn,no,ADP,O,en
Burruyacu,Spn,no,PROPN,B,Burruyacu
.,PUNCT,no,PUNCT,O,.
TÃ,X,no,NOUN,B,TÃ
©,X,no,VERB,I,©
lam,X,no,NOUN,O,lam
03,NUM,no,NUM,O,03
/,PUNCT,no,PUNCT,O,/
11,NUM,no,NUM,O,11
/,PUNCT,no,PUNCT,O,/
12,NUM,no,NUM,O,12
Y,Spn,no,CONJ,O,Y
el,Spn,no,DET,O,el
nene,Spn,no,NOUN,O,nene
finalmente,Spn,no,ADV,O,finalmente
habló,Spn,no,VERB,O,hablar
.,PUNCT,no,PUNCT,O,.
La,Spn,no,DET,B,La
voz,Spn,no,NOUN,I,voz
hasta,Spn,no,ADP,I,hasta
entonces,Spn,no,ADV,I,entonces
desconocida,Spn,no,ADJ,I,desconocido
por,Spn,no,ADP,I,por
casi,Spn,no,ADV,I,casi
todos,Spn,no,PRON,I,todo
y,Spn,no,CONJ,I,y
todas,Spn,no,PRON,I,todo
se,Spn,no,PRON,O,se
escuchó,Spn,no,VERB,O,escuchar
en,Spn,no,ADP,O,en
La,Spn,no,DET,B,La
Cornisa,Spn,no,PROPN,I,Cornisa
",",PUNCT,no,PUNCT,O,","
el,Spn,no,DET,O,el
programa,Spn,no,NOUN,O,programar
de,Spn,no,ADP,O,de
Luis,Spn,no,PROPN,B,Luis
Majul,Spn,no,PROPN,I,Majul
.,PUNCT,no,PUNCT,O,.
El,Spn,no,DET,B,El
nene,Spn,no,NOUN,O,nene
habló,Spn,no,VERB,O,hablar
allí,Spn,no,ADV,O,allí
durante,Spn,no,ADP,O,durante
24,NUM,no,NUM,O,24
segundos,Spn,no,NOUN,O,segundo
:,PUNCT,no,PUNCT,O,:
“,PUNCT,no,PUNCT,O,“
Yo,Spn,no,PRON,O,Yo
lo,Spn,no,PRON,O,el
veía,Spn,no,VERB,O,ver
con,Spn,no,ADP,O,con
mi,Spn,no,DET,O,mi
papá,Spn,no,NOUN,O,papá
”,PUNCT,no,PUNCT,O,”
",",PUNCT,no,PUNCT,O,","
dijo,Spn,no,VERB,O,decir
.,PUNCT,no,PUNCT,O,.
“,PUNCT,no,PUNCT,B,“
Jugábamos,Spn,no,ADJ,I,Jugábamos
a,Spn,no,ADP,O,a
los,Spn,no,DET,O,lo
soldaditos,Spn,no,NOUN,O,soldaditos
y,Spn,no,CONJ,O,y
pasaba,Spn,no,VERB,O,pasar
y,Spn,no,CONJ,O,y
por,Spn,no,ADP,O,por
ahí,Spn,no,ADV,O,ahí
te,Spn,no,PRON,O,te
rompía,Spn,no,VERB,O,romper
todo,Spn,no,PRON,O,todo
(,PUNCT,no,PUNCT,O,(
se,Spn,no,PRON,O,se
ríe,Spn,no,VERB,O,reír
),PUNCT,no,PUNCT,O,)
.,PUNCT,no,PUNCT,O,.
Así,Spn,no,ADV,B,Así
hacía,Spn,no,VERB,O,hacer
Néstor,Spn,no,PROPN,B,Néstor
:,PUNCT,no,PUNCT,O,:
por,Spn,no,ADP,O,por
ahí,Spn,no,ADV,O,ahí
estabas,Spn,no,NOUN,O,estar
ahí,Spn,no,ADV,O,ahí
",",PUNCT,no,PUNCT,O,","
jugando,Spn,no,VERB,O,jugar
",",PUNCT,no,PUNCT,O,","
y,Spn,no,CONJ,O,y
papá,Spn,no,NOUN,O,papá
te,Spn,no,PRON,O,te
rompía,Spn,no,VERB,O,romper
todo,Spn,no,PRON,O,todo
y,Spn,no,CONJ,O,y
se,Spn,no,PRON,O,se
divertía,Spn,no,VERB,O,divertir
",",PUNCT,no,PUNCT,O,","
y,Spn,no,CONJ,O,y
nosotros,Spn,no,PRON,O,nosotros
nos,Spn,no,PRON,O,no
enojábamos,Spn,no,VERB,O,enojar
.,PUNCT,no,PUNCT,O,.
Pero,Spn,no,CONJ,B,Pero
lo,Spn,no,PRON,O,el
volvíamos,Spn,no,AUX,O,volver
a,Spn,no,ADP,O,a
armar,Spn,no,VERB,O,armar
.,PUNCT,no,PUNCT,O,.
Creo,Spn,no,VERB,B,Creo
que,Spn,no,SCONJ,O,que
por,Spn,no,ADP,O,por
ahí,Spn,no,ADV,O,ahí
nos,Spn,no,PRON,O,no
estaba,Spn,no,AUX,O,estar
enseñando,Spn,no,VERB,O,enseñar
algo,Spn,no,PRON,O,algo
",",PUNCT,no,PUNCT,O,","
en,Spn,no,ADP,O,en
ese,Spn,no,DET,O,ese
sentido,Spn,no,NOUN,O,sentir
”,PUNCT,no,PUNCT,O,”
.,PUNCT,no,PUNCT,O,.
Veinticuatro,Spn,no,NOUN,B,Veinticuatro
segundos,Spn,no,NOUN,O,segundo
y,Spn,no,CONJ,O,y
un,Spn,no,DET,O,uno
poco,Spn,no,ADV,O,poco
más,Spn,no,ADV,O,más
.,PUNCT,no,PUNCT,O,.
Quienes,Spn,no,PRON,O,Quienes
pudieron,Spn,no,AUX,O,poder
ver,Spn,no,VERB,O,ver
en,Spn,no,ADP,O,en
privado,Spn,no,NOUN,O,privar
la,Spn,no,DET,O,lo
película,Spn,no,NOUN,O,película
sobre,Spn,no,ADP,O,sobrar
Néstor,Spn,no,PROPN,B,Néstor
Kirchner,Spn,no,PROPN,I,Kirchner
dirigida,Spn,no,ADJ,O,dirigir
por,Spn,no,ADP,O,por
Paula,Spn,no,PROPN,B,Paula
de,Spn,no,ADP,I,de
Luque,Spn,no,PROPN,I,Luque
relatan,Spn,no,VERB,O,relatar
que,Spn,no,SCONJ,O,que
también,Spn,no,ADV,O,también
incluye,Spn,no,VERB,O,incluir
unos,Spn,no,DET,O,uno
segundos,Spn,no,NOUN,O,segundo
más,Spn,no,ADV,O,más
de,Spn,no,ADP,O,de
Máximo,Spn,no,PROPN,B,Máximo
diciendo,Spn,no,AUX,O,decir
que,Spn,no,SCONJ,O,que
a,Spn,no,ADP,O,a
su,Spn,no,DET,O,su
padre,Spn,no,NOUN,O,padre
le,Spn,no,PRON,O,le
hubiera,Spn,no,AUX,O,haber
gustado,Spn,no,VERB,O,gustar
que,Spn,no,SCONJ,O,que
su,Spn,no,DET,O,su
abuelo,Spn,no,NOUN,O,abuelo
",",PUNCT,no,PUNCT,O,","
el,Spn,no,DET,O,el
padre,Spn,no,NOUN,O,padre
de,Spn,no,ADP,O,de
Néstor,Spn,no,PROPN,B,Néstor
",",PUNCT,no,PUNCT,O,","
lo,Spn,no,PRON,O,el
hubiera,Spn,no,AUX,O,haber
visto,Spn,no,VERB,O,vestir
llegar,Spn,no,VERB,O,llegar
a,Spn,no,ADP,O,a
intendente,Spn,no,NOUN,O,intendente
",",PUNCT,no,PUNCT,O,","
gobernador,Spn,no,NOUN,O,gobernador
y,Spn,no,CONJ,O,y
presidente,Spn,no,NOUN,O,presidente
.,PUNCT,no,PUNCT,O,.
La,Spn,no,DET,B,La
voz,Spn,no,NOUN,I,voz
de,Spn,no,ADP,I,de
Máximo,Spn,no,PROPN,B,Máximo
fue,Spn,no,AUX,O,ser
trend,Eng-UnadaptedAng,yes,NOUN,O,trend
topic,Eng-UnadaptedAng,yes,VERB,O,topic
en,Spn,no,ADP,O,en
Twitter,Eng-NE,no,PROPN,B,Twitter
el,Spn,no,DET,O,el
30,NUM,no,NUM,O,30
de,Spn,no,ADP,O,de
octubre,Spn,no,NOUN,O,octubre
:,PUNCT,no,PUNCT,O,:
“,PUNCT,no,PUNCT,O,“
Más,Spn,no,ADV,O,Más
allá,Spn,no,ADV,O,allá
de,Spn,no,ADP,O,de
escuchar,Spn,no,VERB,O,escuchar
LA,Spn,no,DET,B,LA
VOZ,Spn,no,PROPN,I,VOZ
del,Spn,no,ADP,O,del
silente,Spn,no,ADJ,O,silente
Máximo,Spn,no,PROPN,B,Máximo
",",PUNCT,no,PUNCT,O,","
le,Spn,no,PRON,O,le
prestaron,Spn,no,VERB,O,prestar
atención,Spn,no,NOUN,O,atención
a,Spn,no,ADP,O,a
la,Spn,no,DET,O,lo
anécdota,Spn,no,NOUN,O,anécdota
que,Spn,no,PRON,O,que
cuenta,Spn,no,VERB,O,contar
?,PUNCT,no,PUNCT,O,?
”,PUNCT,no,PUNCT,O,”
",",PUNCT,no,PUNCT,O,","
tuiteó,Eng-AdaptedAng,yes,VERB,O,tuiteó
su,Spn,no,DET,O,su
amigo,Spn,no,NOUN,O,amigar
personal,Spn,no,ADJ,O,personal
Mariano,Spn,no,PROPN,B,Mariano
Martin,Spn,no,PROPN,I,Martin
.,PUNCT,no,PUNCT,O,.
“,PUNCT,no,PUNCT,O,“
Lo,Spn,no,DET,O,Lo
bueno,Spn,no,ADJ,O,bueno
:,PUNCT,no,PUNCT,O,:
Máximo,Spn,no,PROPN,B,Máximo
no,Spn,no,ADV,O,no
es,Spn,no,AUX,O,ser
mudo,Spn,no,ADJ,O,mudar
.,PUNCT,no,PUNCT,O,.
Lo,Spn,no,DET,B,Lo
malo,Spn,no,ADJ,I,malo
:,PUNCT,no,PUNCT,I,:
no,Spn,no,ADV,I,no
se,Spn,no,PRON,I,se
le,Spn,no,PRON,I,le
entiende,Spn,no,VERB,I,entender
absolutamente,Spn,no,ADV,I,absolutamente
nada,Spn,no,PRON,I,nadar
”,PUNCT,no,PUNCT,O,”
",",PUNCT,no,PUNCT,O,","
decía,Spn,no,VERB,O,decir
otro,Spn,no,DET,O,otro
tuit,Eng-AdaptedAng,yes,NOUN,O,tuit
.,PUNCT,no,PUNCT,O,.
“,PUNCT,no,PUNCT,O,“
Psicólogos,Spn,no,PROPN,B,Psicólogos
para,Spn,no,ADP,O,parir
todos,Spn,no,PRON,O,todo
:,PUNCT,no,PUNCT,O,:
jugábamos,Spn,no,ADJ,O,jugar
a,Spn,no,ADP,O,a
los,Spn,no,DET,O,lo
soldaditos,Spn,no,NOUN,O,soldaditos
y,Spn,no,CONJ,O,y
pasaba,Spn,no,VERB,O,pasar
Papá,Spn,no,PROPN,B,Papá
y,Spn,no,CONJ,O,y
rompía,Spn,no,VERB,O,romper
todo,Spn,no,PRON,O,todo
.,PUNCT,no,PUNCT,O,.
Máximo,Spn,no,PROPN,B,Máximo
Kirchner,Spn,no,PROPN,I,Kirchner
”,PUNCT,no,PUNCT,O,”
",",PUNCT,no,PUNCT,O,","
otro,Spn,no,PRON,O,otro
más,Spn,no,ADV,O,más
.,PUNCT,no,PUNCT,O,.
“,PUNCT,no,PUNCT,O,“
Nació,Spn,no,VERB,B,Nació
en,Spn,no,ADP,O,en
La,Spn,no,DET,B,La
Plata,Spn,no,PROPN,I,Plata
el,Spn,no,DET,O,el
16,NUM,no,NUM,O,16
de,Spn,no,ADP,O,de
febrero,Spn,no,NOUN,O,febrero
de,Spn,no,ADP,O,de
1977,NUM,no,NUM,O,1977
.,PUNCT,no,PUNCT,O,.
Debería,Spn,no,AUX,B,Debería
haberse,Spn,no,NOUN,O,haberse
llamado,Spn,no,ADJ,O,llamar
Néstor,Spn,no,PROPN,B,Néstor
por,Spn,no,ADP,O,por
una,Spn,no,DET,O,uno
tradición,Spn,no,NOUN,O,tradición
familiar,Spn,no,ADJ,O,familiar
–,PUNCT,no,ADJ,B,–
escribe,Spn,no,VERB,O,escribir
Laura,Spn,no,PROPN,B,Laura
Di,Spn,no,PROPN,I,Di
Marco,Spn,no,PROPN,I,Marco
en,Spn,no,ADP,O,en
su,Spn,no,DET,O,su
libro,Spn,no,NOUN,O,librar
sobre,Spn,no,ADP,O,sobrar
La,Spn,no,DET,B,La
Cámpora,Spn,no,PROPN,I,Cámpora
–,PUNCT,no,PROPN,I,–
",",PUNCT,no,PUNCT,O,","
pero,Spn,no,CONJ,O,pero
Cristina,Spn,no,PROPN,B,Cristina
lo,Spn,no,PRON,O,el
impidió,Spn,no,VERB,O,impedir
y,Spn,no,CONJ,O,y
sólo,Spn,no,ADV,O,sólo
negoció,Spn,no,VERB,O,negociar
el,Spn,no,DET,O,el
segundo,Spn,no,ADJ,O,segundar
nombre,Spn,no,NOUN,O,nombrar
:,PUNCT,no,PUNCT,O,:
Carlos,Spn,no,PROPN,B,Carlos
”,PUNCT,no,PUNCT,O,”
.,PUNCT,no,PUNCT,O,.
La,Spn,no,DET,B,La
Presidenta,Spn,no,PROPN,I,Presidenta
lo,Spn,no,PRON,O,el
llama,Spn,no,VERB,O,llamar
“,PUNCT,no,PROPN,O,“
Osito,Spn,no,PROPN,B,Osito
”,PUNCT,no,PUNCT,O,”
.,PUNCT,no,PUNCT,O,.
A,Spn,no,ADP,B,A
los,Spn,no,DET,I,lo
treinta,Spn,no,NUM,I,treinta
y,Spn,no,CONJ,I,y
cinco,Spn,no,NUM,I,cincar
años,Spn,no,NOUN,I,año
",",PUNCT,no,PUNCT,O,","
Máximo,Spn,no,PROPN,B,Máximo
tuvo,Spn,no,VERB,O,tener
un,Spn,no,DET,O,uno
solo,Spn,no,ADJ,O,solo
trabajo,Spn,no,NOUN,O,trabajar
en,Spn,no,ADP,O,en
relación,Spn,no,NOUN,O,relación
de,Spn,no,ADP,O,de
dependencia,Spn,no,NOUN,O,dependencia
:,PUNCT,no,PUNCT,O,:
fue,Spn,no,AUX,O,ser
en,Spn,no,ADP,O,en
el,Spn,no,DET,O,el
año,Spn,no,NOUN,O,año
2000,NUM,no,NUM,O,2000
para,Spn,no,ADP,O,parir
la,Spn,no,DET,O,lo
empresa,Spn,no,NOUN,O,empresa
Petersen,Spn,no,PROPN,B,Petersen
",",PUNCT,no,PUNCT,O,","
Thiele,Spn,no,PROPN,B,Thiele
y,Spn,no,CONJ,O,y
Cruz,Spn,no,PROPN,B,Cruz
",",PUNCT,no,PUNCT,O,","
propiedad,Spn,no,NOUN,O,propiedad
del,Spn,no,ADP,O,del
Grupo,Spn,no,PROPN,B,Grupo
Eskenazi,Spn,no,PROPN,I,Eskenazi
.,PUNCT,no,PUNCT,O,.
Cuando,Spn,no,SCONJ,B,Cuando
terminó,Spn,no,VERB,I,terminar
el,Spn,no,DET,I,el
secundario,Spn,no,NOUN,I,secundario
en,Spn,no,ADP,O,en
la,Spn,no,DET,O,lo
escuela,Spn,no,NOUN,O,escuela
pública,Spn,no,ADJ,O,público
Guatemala,Spn,no,PROPN,O,Guatemala
de,Spn,no,ADP,O,de
Río,Spn,no,PROPN,O,Río
Gallegos,Spn,no,PROPN,O,Gallegos
viajó,Spn,no,VERB,O,viajar
a,Spn,no,ADP,O,a
La,Spn,no,DET,B,La
Plata,Spn,no,PROPN,I,Plata
para,Spn,no,ADP,O,parir
estudiar,Spn,no,VERB,O,estudiar
Derecho,Spn,no,PROPN,B,Derecho
:,PUNCT,no,PUNCT,O,:
no,Spn,no,ADV,O,no
llegó,Spn,no,AUX,O,llegar
a,Spn,no,ADP,O,a
completar,Spn,no,VERB,O,completar
el,Spn,no,DET,O,el
primer,Spn,no,ADJ,O,﻿1
año,Spn,no,NOUN,O,año
.,PUNCT,no,PUNCT,O,.
Más,Spn,no,ADV,B,Más
tarde,Spn,no,ADV,O,tardar
intentó,Spn,no,VERB,O,intentar
estudiar,Spn,no,VERB,O,estudiar
periodismo,Spn,no,NOUN,O,periodismo
deportivo,Spn,no,ADJ,O,deportivo
en,Spn,no,ADP,O,en
TEA,Spn,no,PROPN,B,TEA
",",PUNCT,no,PUNCT,O,","
pero,Spn,no,CONJ,O,pero
tampoco,Spn,no,ADV,O,tampoco
completó,Spn,no,VERB,O,completar
los,Spn,no,DET,O,lo
primeros,Spn,no,ADJ,O,primero
cursos,Spn,no,NOUN,O,curso
.,PUNCT,no,PUNCT,O,.
En,Spn,no,ADP,O,En
aquello,Spn,no,PRON,O,aquel
tenía,Spn,no,VERB,O,tener
una,Spn,no,DET,O,uno
pequeña,Spn,no,ADJ,O,pequeño
experiencia,Spn,no,NOUN,O,experiencia
:,PUNCT,no,PUNCT,O,:
había,Spn,no,AUX,O,haber
cubierto,Spn,no,VERB,O,cubrir
los,Spn,no,DET,O,lo
vestuarios,Spn,no,NOUN,O,vestuario
para,Spn,no,ADP,O,parir
un,Spn,no,DET,O,uno
programa,Spn,no,NOUN,O,programar
de,Spn,no,ADP,O,de
radio,Spn,no,NOUN,O,radiar
de,Spn,no,ADP,O,de
Santa,Spn,no,PROPN,B,Santa
Cruz,Spn,no,PROPN,I,Cruz
que,Spn,no,PRON,O,que
conducía,Spn,no,VERB,O,conducir
el,Spn,no,DET,O,el
entonces,Spn,no,ADV,O,entonces
corresponsal,Spn,no,NOUN,O,corresponsal
de,Spn,no,ADP,O,de
Clarín,Spn,no,PROPN,B,Clarín
en,Spn,no,ADP,O,en
Río,Spn,no,PROPN,B,Río
Gallegos,Spn,no,PROPN,I,Gallegos
",",PUNCT,no,PUNCT,O,","
Wilmar,Spn,no,PROPN,B,Wilmar
Caballero,Spn,no,PROPN,I,Caballero
.,PUNCT,no,PUNCT,I,.
“,PUNCT,no,PUNCT,O,“
Allá,Spn,no,ADV,O,Allá
por,Spn,no,ADP,O,por
el,Spn,no,DET,O,el
2007,NUM,no,NOUN,O,2007
yo,Spn,no,PRON,O,yo
tenía,Spn,no,VERB,O,tener
un,Spn,no,DET,O,uno
espacio,Spn,no,NOUN,O,espaciar
en,Spn,no,ADP,O,en
la,Spn,no,DET,O,lo
radio,Spn,no,NOUN,O,radiar
oficial,Spn,no,ADJ,O,oficial
santacruceña,Spn,no,ADJ,O,santacruceño
–,PUNCT,no,ADJ,O,–
le,Spn,no,PRON,O,le
contó,Spn,no,VERB,O,contar
Caballero,Spn,no,PROPN,B,Caballero
a,Spn,no,ADP,I,a
Noticias,Spn,no,PROPN,I,Noticias
–,PUNCT,no,PROPN,O,–
y,Spn,no,CONJ,O,y
Cristina,Spn,no,PROPN,B,Cristina
me,Spn,no,PRON,O,me
preguntó,Spn,no,VERB,O,preguntar
si,Spn,no,SCONJ,O,si
no,Spn,no,ADV,O,no
le,Spn,no,PRON,O,le
podía,Spn,no,AUX,O,poder
dar,Spn,no,VERB,O,dar
laburo,Spn,no,NOUN,O,laburo
a,Spn,no,ADP,O,a
Máximo,Spn,no,PROPN,B,Máximo
.,PUNCT,no,PUNCT,I,.
Hacíamos,Spn,no,VERB,O,Hacíamos
los,Spn,no,DET,O,lo
partidos,Spn,no,NOUN,O,partir
más,Spn,no,ADV,O,más
importantes,Spn,no,ADJ,O,importante
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
fecha,Spn,no,NOUN,O,fecho
desde,Spn,no,ADP,O,desde
Capital,Spn,no,PROPN,B,Capital
y,Spn,no,CONJ,O,y
él,Spn,no,PRON,O,él
cubría,Spn,no,VERB,O,cubrir
los,Spn,no,DET,O,lo
vestuarios,Spn,no,NOUN,O,vestuario
”,PUNCT,no,PUNCT,O,”
.,PUNCT,no,PUNCT,O,.
Oficialmente,Spn,no,ADV,B,Oficialmente
",",PUNCT,no,PUNCT,O,","
Máximo,Spn,no,PROPN,B,Máximo
trabaja,Spn,no,VERB,O,trabajar
en,Spn,no,ADP,O,en
la,Spn,no,DET,O,lo
inmobiliaria,Spn,no,NOUN,O,inmobiliario
Sancho,Spn,no,PROPN,B,Sancho
-,PUNCT,no,PUNCT,I,-
San,Spn,no,PROPN,I,San
Felice,Spn,no,PROPN,I,Felice
en,Spn,no,ADP,O,en
la,Spn,no,DET,O,lo
calle,Spn,no,NOUN,O,callar
Alberdi,Spn,no,PROPN,B,Alberdi
43,NUM,no,NUM,I,43
de,Spn,no,ADP,I,de
Río,Spn,no,PROPN,I,Río
Gallegos,Spn,no,PROPN,I,Gallegos
y,Spn,no,CONJ,O,y
se,Spn,no,PRON,O,se
supone,Spn,no,VERB,O,suponer
empleado,Spn,no,AUX,O,emplear
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
firma,Spn,no,NOUN,O,firmar
",",PUNCT,no,PUNCT,O,","
aunque,Spn,no,SCONJ,O,aunque
en,Spn,no,ADP,O,en
verdad,Spn,no,NOUN,O,verdad
figura,Spn,no,VERB,O,figurar
como,Spn,no,SCONJ,O,comer
miembro,Spn,no,NOUN,O,miembro
fundador,Spn,no,ADJ,O,fundador
y,Spn,no,CONJ,O,y
vicepresidente,Spn,no,NOUN,O,vicepresidente
de,Spn,no,ADP,O,de
Negocios,Spn,no,PROPN,B,Negocios
Inmobiliarios,Spn,no,PROPN,I,Inmobiliarios
S.,X,no,PROPN,I,S.
A.,X,no,PROPN,I,A.
e,Spn,no,CONJ,O,e
integra,Spn,no,VERB,O,integrar
con,Spn,no,ADP,O,con
sus,Spn,no,DET,O,su
padres,Spn,no,NOUN,O,padre
las,Spn,no,DET,O,los
sociedades,Spn,no,NOUN,O,sociedad
Los,Spn,no,DET,B,Los
Sauces,Spn,no,PROPN,I,Sauces
S.,X,no,PROPN,I,S.
A.,X,no,PROPN,I,A.
(,PUNCT,no,PUNCT,O,(
dedicada,Spn,no,ADJ,O,dedicar
a,Spn,no,ADP,O,a
negocios,Spn,no,NOUN,O,negocio
inmobiliarios,Spn,no,ADJ,O,inmobiliario
",",PUNCT,no,PUNCT,O,","
hotelería,Spn,no,VERB,O,hotelería
",",PUNCT,no,PUNCT,O,","
turismo,Spn,no,NOUN,O,turismo
y,Spn,no,CONJ,O,y
servicios,Spn,no,NOUN,O,servicio
),PUNCT,no,PUNCT,O,)
",",PUNCT,no,PUNCT,O,","
y,Spn,no,CONJ,O,y
entre,Spn,no,ADP,O,entrar
2008,NUM,no,NOUN,O,2008
y,Spn,no,CONJ,O,y
2010,NUM,no,NOUN,O,2010
integró,Spn,no,VERB,O,integrar
el,Spn,no,DET,O,el
directorio,Spn,no,NOUN,O,directorio
de,Spn,no,ADP,O,de
El,Spn,no,DET,B,El
Chapel,Spn,no,PROPN,I,Chapel
S.,X,no,PROPN,I,S.
A.,X,no,PROPN,I,A.
",",PUNCT,no,PUNCT,O,","
dedicada,Spn,no,ADJ,O,dedicar
a,Spn,no,ADP,O,a
la,Spn,no,DET,O,lo
consultoría,Spn,no,NOUN,O,consultoría
.,PUNCT,no,PUNCT,O,.
Ante,Spn,no,ADP,B,Ante
la,Spn,no,DET,I,lo
AFIP,Spn,no,PROPN,I,AFIP
",",PUNCT,no,PUNCT,O,","
Máximo,Spn,no,PROPN,B,Máximo
es,Spn,no,AUX,O,ser
un,Spn,no,DET,O,uno
trabajador,Spn,no,NOUN,O,trabajador
autónomo,Spn,no,ADJ,O,autónomo
categoría,Spn,no,NOUN,O,categoría
T1,X,no,PROPN,B,T1
Cat,X,no,PROPN,I,Cat
V,X,no,PROPN,I,V
con,Spn,no,ADP,O,con
ingresos,Spn,no,NOUN,O,ingreso
de,Spn,no,ADP,O,de
treinta,Spn,no,NUM,O,treinta
mil,Spn,no,NUM,O,mil
pesos,Spn,no,NOUN,O,peso
al,Spn,no,ADP,O,al
año,Spn,no,NOUN,O,año
.,PUNCT,no,PUNCT,O,.
“,PUNCT,no,PUNCT,O,“
Máximo,Spn,no,PROPN,B,Máximo
va,Spn,no,VERB,O,ir
y,Spn,no,CONJ,O,y
viene,Spn,no,VERB,O,venir
",",PUNCT,no,PUNCT,O,","
pero,Spn,no,CONJ,O,pero
últimamente,Spn,no,ADV,O,últimamente
